idade,profissao,estadoCivil,formacao,default,renda,Residencia,emprestimo,contato,dia,mes,duracao,companhia,pdias,antecedentec,saques,deposito
59,administrador,casado,secundário,não,2343,sim,não,desconhecido,5,maio,1042,1,-1,0,desconhecido,sim
56,administrador,casado,secundário,não,45,não,no,desconhecido,5,maio,1467,1,-1,0,desconhecido,sim
41,técnico,casado,secundário,não,1270,sim,não,desconhecido,5,maio,1389,1,-1,0,desconhecido,sim
55,serviços,casado,secundário,não,2476,sim,não,desconhecido,5,maio,579,1,-1,0,desconhecido,sim
54,administrador,casado,terciário,não,184,não,no,desconhecido,5,maio,673,2,-1,0,desconhecido,sim
42,gerente,solteiro,terciário,não,0,sim,sim,desconhecido,5,maio,562,2,-1,0,desconhecido,sim
56,gerente,casado,terciário,não,830,sim,sim,desconhecido,6,maio,1201,1,-1,0,desconhecido,sim
60,aposentado,divorciado,secundário,não,545,sim,não,desconhecido,6,maio,1030,1,-1,0,desconhecido,sim
37,técnico,casado,secundário,não,1,sim,não,desconhecido,6,maio,608,1,-1,0,desconhecido,sim
28,serviços,solteiro,secundário,não,5090,sim,não,desconhecido,6,maio,1297,3,-1,0,desconhecido,sim
38,administrador,solteiro,secundário,não,100,sim,não,desconhecido,7,maio,786,1,-1,0,desconhecido,sim
30,engravatado,casado,secundário,não,309,sim,não,desconhecido,7,maio,1574,2,-1,0,desconhecido,sim
29,gerente,casado,terciário,não,199,sim,sim,desconhecido,7,maio,1689,4,-1,0,desconhecido,sim
46,engravatado,solteiro,terciário,não,460,sim,não,desconhecido,7,maio,1102,2,-1,0,desconhecido,sim
31,técnico,solteiro,terciário,não,703,sim,não,desconhecido,8,maio,943,2,-1,0,desconhecido,sim
35,gerente,divorciado,terciário,não,3837,sim,não,desconhecido,8,maio,1084,1,-1,0,desconhecido,sim
32,engravatado,solteiro,primário,não,611,sim,não,desconhecido,8,maio,541,3,-1,0,desconhecido,sim
49,serviços,casado,secundário,não,-8,sim,não,desconhecido,8,maio,1119,1,-1,0,desconhecido,sim
41,administrador,casado,secundário,não,55,sim,não,desconhecido,8,maio,1120,2,-1,0,desconhecido,sim
49,administrador,divorciado,secundário,não,168,sim,sim,desconhecido,8,maio,513,1,-1,0,desconhecido,sim
28,administrador,divorciado,secundário,não,785,sim,não,desconhecido,8,maio,442,2,-1,0,desconhecido,sim
43,gerente,solteiro,terciário,não,2067,sim,não,desconhecido,8,maio,756,1,-1,0,desconhecido,sim
43,gerente,divorciado,terciário,não,388,sim,não,desconhecido,8,maio,2087,2,-1,0,desconhecido,sim
43,engravatado,casado,primário,não,-192,sim,não,desconhecido,8,maio,1120,2,-1,0,desconhecido,sim
37,unemployed,solteiro,secundário,não,381,sim,não,desconhecido,8,maio,985,2,-1,0,desconhecido,sim
35,engravatado,solteiro,secundário,não,40,sim,não,desconhecido,9,maio,617,4,-1,0,desconhecido,sim
31,técnico,solteiro,terciário,não,22,sim,não,desconhecido,9,maio,483,3,-1,0,desconhecido,sim
43,engravatado,solteiro,secundário,não,3,sim,não,desconhecido,9,maio,929,3,-1,0,desconhecido,sim
31,administrador,casado,secundário,não,307,sim,não,desconhecido,9,maio,538,1,-1,0,desconhecido,sim
28,engravatado,solteiro,secundário,não,759,sim,não,desconhecido,9,maio,710,1,-1,0,desconhecido,sim
32,engravatado,casado,secundário,sim,-1,sim,não,desconhecido,9,maio,653,1,-1,0,desconhecido,sim
60,técnico,casado,primário,não,65,sim,não,desconhecido,9,maio,1028,2,-1,0,desconhecido,sim
26,engravatado,solteiro,secundário,não,82,sim,não,desconhecido,9,maio,654,1,-1,0,desconhecido,sim
40,engravatado,casado,secundário,não,10,sim,não,desconhecido,9,maio,1692,2,-1,0,desconhecido,sim
33,engravatado,divorciado,primário,não,390,sim,não,desconhecido,9,maio,665,2,-1,0,desconhecido,sim
32,gerente,solteiro,terciário,não,311,não,no,desconhecido,12,maio,757,2,-1,0,desconhecido,sim
35,engravatado,casado,primário,não,414,não,no,desconhecido,13,maio,504,4,-1,0,desconhecido,sim
33,gerente,divorciado,secundário,não,5,sim,não,desconhecido,13,maio,1346,1,-1,0,desconhecido,sim
38,gerente,casado,terciário,não,119,sim,não,desconhecido,13,maio,568,4,-1,0,desconhecido,sim
23,empreendedor,solteiro,primário,não,4,sim,não,desconhecido,13,maio,395,2,-1,0,desconhecido,sim
60,engravatado,casado,primário,não,1262,sim,sim,desconhecido,13,maio,1015,1,-1,0,desconhecido,sim
48,gerente,casado,terciário,não,1949,sim,não,desconhecido,13,maio,683,2,-1,0,desconhecido,sim
45,empreendedor,divorciado,terciário,não,-395,sim,não,desconhecido,13,maio,470,1,-1,0,desconhecido,sim
36,engravatado,casado,secundário,não,1165,sim,não,desconhecido,13,maio,1001,4,-1,0,desconhecido,sim
52,gerente,casado,desconhecido,não,2240,sim,não,desconhecido,13,maio,845,1,-1,0,desconhecido,sim
35,engravatado,divorciado,primário,não,300,sim,não,desconhecido,13,maio,945,2,-1,0,desconhecido,sim
43,técnico,casado,secundário,não,3285,sim,não,desconhecido,13,maio,1721,2,-1,0,desconhecido,sim
52,housemaid,casado,secundário,não,3923,sim,não,desconhecido,14,maio,942,3,-1,0,desconhecido,sim
53,técnico,divorciado,primário,não,1443,sim,não,desconhecido,14,maio,476,1,-1,0,desconhecido,sim
48,engravatado,divorciado,primário,não,24,sim,não,desconhecido,14,maio,832,1,-1,0,desconhecido,sim
41,engravatado,solteiro,primário,não,1618,sim,não,desconhecido,14,maio,1553,1,-1,0,desconhecido,sim
39,gerente,divorciado,terciário,não,517,sim,sim,desconhecido,14,maio,1328,1,-1,0,desconhecido,sim
59,aposentado,casado,secundário,não,1521,sim,sim,desconhecido,14,maio,1125,2,-1,0,desconhecido,sim
41,engravatado,casado,secundário,não,2823,sim,não,desconhecido,14,maio,858,1,-1,0,desconhecido,sim
48,engravatado,casado,secundário,não,1405,sim,não,desconhecido,14,maio,629,2,-1,0,desconhecido,sim
40,administrador,casado,secundário,não,1535,sim,não,desconhecido,14,maio,704,1,-1,0,desconhecido,sim
48,engravatado,casado,secundário,não,1596,sim,não,desconhecido,14,maio,760,1,-1,0,desconhecido,sim
